x = -0.1835572023663598	y = -0.9141223954978819	t = 5.2723228931427
x = -0.18199564678798996	y = -0.9152982633005988	t = 5.292620420455933
x = -0.18082448010421256	y = -0.9161801641526366	t = 5.307956695556641
x = -0.1790634580472048	y = -0.9174973230159731	t = 5.329765319824219
x = -0.1769058989276935	y = -0.9191002095913349	t = 5.3583033084869385
x = -0.17552961279673812	y = -0.9201157794734067	t = 5.373180150985718
x = -0.17415004711714124	y = -0.9211268898705989	t = 5.38852071762085
x = -0.17237212183045236	y = -0.922421141712972	t = 5.4093451499938965
x = -0.1709860404368791	y = -0.9234233014158245	t = 5.428341627120972
x = -0.16919977509174222	y = -0.9247060181707227	t = 5.449501037597656
x = -0.16740936775986187	y = -0.9259829471986969	t = 5.470189809799194
x = -0.16581058109009433	y = -0.9271076703194595	t = 5.491023778915405
x = -0.1642117944203268	y = -0.9282323934402221	t = 5.508570909500122
x = -0.1630072695409963	y = -0.9290681567614375	t = 5.523426055908203
x = -0.16180274466166583	y = -0.9299039200826529	t = 5.5385870933532715
x = -0.16059821978233535	y = -0.9307396834038683	t = 5.552975416183472
x = -0.1591897924735054	y = -0.9317101875076068	t = 5.567457914352417
x = -0.15818153473081076	y = -0.9324001452463497	t = 5.580992937088013
x = -0.15676685514491862	y = -0.9333615126937348	t = 5.596095085144043
x = -0.15534907163039585	y = -0.9343182966848106	t = 5.611286401748657
x = -0.15413382861794767	y = -0.9351383972485898	t = 5.625517129898071
x = -0.1527129560247939	y = -0.9360905877619096	t = 5.6408562660217285
x = -0.1514898079638073	y = -0.9368988509213567	t = 5.654537200927734
x = -0.14985894388249174	y = -0.9379765351339531	t = 5.671895742416382
x = -0.14863058979999388	y = -0.9387768642925033	t = 5.6850128173828125
x = -0.14719449569065438	y = -0.9397059387829249	t = 5.70105767250061
x = -0.14596355788264911	y = -0.9405022883461434	t = 5.715181112289429
x = -0.14472749132943633	y = -0.9412906537373443	t = 5.729111909866333
x = -0.1430794025918192	y = -0.942341807592279	t = 5.745033264160156
x = -0.14122148531302806	y = -0.9435183489394926	t = 5.763994216918945
x = -0.14018719905316124	y = -0.9441686390975034	t = 5.778589248657227
x = -0.1387362594644254	y = -0.9450743542897524	t = 5.792984962463379
x = -0.137282396248047	y = -0.945975368966488	t = 5.808639049530029
x = -0.13582562463192782	y = -0.9468716736903968	t = 5.822781085968018
x = -0.1343659598744329	y = -0.9477632590734975	t = 5.836330413818359
x = -0.13290341726422994	y = -0.9486501157772397	t = 5.852219581604004
x = -0.13164980931262743	y = -0.9494102786661616	t = 5.8660478591918945
x = -0.13039130731616688	y = -0.9501623114040925	t = 5.880372762680054
x = -0.12871330465421946	y = -0.9511650217213337	t = 5.895225763320923
x = -0.1274499613394426	y = -0.9519088928009056	t = 5.910679817199707
x = -0.12597325984509755	y = -0.9527719677664971	t = 5.924701690673828
x = -0.12428560099441757	y = -0.9537583391557444	t = 5.938549995422363
x = -0.12280611400674613	y = -0.9546166304541638	t = 5.953786611557007
x = -0.12153324704407684	y = -0.9553440850639918	t = 5.968603849411011
x = -0.1200454966700435	y = -0.9561879716228343	t = 5.982245206832886
x = -0.11855502296126348	y = -0.9570270388567717	t = 5.998145341873169
x = -0.11706184152910071	y = -0.9578612779773336	t = 6.0123748779296875
x = -0.11556596801327983	y = -0.95869068024662	t = 6.025970935821533
x = -0.11428379071400481	y = -0.9594015964774368	t = 6.040607213973999
x = -0.11278524078244781	y = -0.9602261532082091	t = 6.054937839508057
x = -0.11107261228923973	y = -0.9611685037576633	t = 6.069915056228638
x = -0.10978359316298598	y = -0.9618669378677746	t = 6.08347225189209
x = -0.1082771082712596	y = -0.9626769063675521	t = 6.098663091659546
x = -0.1065554112521438	y = -0.9636025846530121	t = 6.114460706710815
x = -0.10504631289505359	y = -0.9644076733737499	t = 6.128459692001343
x = -0.10375280001754776	y = -0.9650977494200966	t = 6.141910791397095
x = -0.10158954595856301	y = -0.9662338978717109	t = 6.162508010864258
x = -0.10007270215268876	y = -0.9670242968647597	t = 6.17631983757019
x = -0.09855330826979625	y = -0.9678097826560128	t = 6.191319704055786
x = -0.09703138022416204	y = -0.9685903470182171	t = 6.206512451171875
x = -0.09529203388629429	y = -0.9694824205750221	t = 6.222057819366455
x = -0.09398322086719438	y = -0.9701430180281277	t = 6.2354676723480225
x = -0.09223813684172782	y = -0.9710238146322686	t = 6.252347946166992
x = -0.09049305281626135	y = -0.9719046112364094	t = 6.268479585647583
x = -0.08917999136584832	y = -0.9725567232984464	t = 6.281914234161377
x = -0.08720724379465543	y = -0.973528511946706	t = 6.29746413230896
x = -0.08589207874719347	y = -0.9741763710455457	t = 6.311960697174072
x = -0.08435528139962223	y = -0.9749272369537675	t = 6.325972557067871
x = -0.08281606202308073	y = -0.9756731252902568	t = 6.340854644775391
x = -0.08105147340194863	y = -0.9765141650705143	t = 6.355359315872192
