x = 0.5013155865360478	y = 0.21146497104759762	t = 4.194686412811279
x = 0.5013647833083278	y = 0.21464108929014028	t = 4.212052822113037
x = 0.5013917261458932	y = 0.2168400390940325	t = 4.2272560596466064
x = 0.501421662632077	y = 0.2192833166539128	t = 4.241307497024536
x = 0.501445611821024	y = 0.22123793870181693	t = 4.256879091262817
x = 0.5014597330797573	y = 0.22368135884945248	t = 4.2713518142700195
x = 0.5014653251233178	y = 0.2258804665970589	t = 4.286977767944336
x = 0.501463800019007	y = 0.2280795809257356	t = 4.301362752914429
x = 0.5014497917722646	y = 0.2300342994944373	t = 4.315079689025879
x = 0.501426915618366	y = 0.23223329536485562	t = 4.330196857452393
x = 0.5014065812593451	y = 0.23418795836078296	t = 4.344413995742798
x = 0.5013862469003242	y = 0.2361426213567103	t = 4.358138561248779
x = 0.5013557453617927	y = 0.23907461585060133	t = 4.37680196762085
x = 0.5013399860842075	y = 0.24127367424039084	t = 4.390945911407471
x = 0.5013313438479997	y = 0.24347277211640436	t = 4.405580997467041
x = 0.5013363145533868	y = 0.24542753455872116	t = 4.41937780380249
x = 0.5013583435412122	y = 0.24787089620848052	t = 4.43615198135376
x = 0.5013759667314726	y = 0.2498255855282881	t = 4.44933819770813
x = 0.501402909569038	y = 0.25202453533218033	t = 4.463491916656494
x = 0.501426858757985	y = 0.25397915738008453	t = 4.47818398475647
x = 0.5014381557649716	y = 0.2559338934981929	t = 4.492173433303833
x = 0.5014425051321852	y = 0.25764431063522014	t = 4.506752252578735
x = 0.5014409800278745	y = 0.25984342496389673	t = 4.521011590957642
x = 0.5014342582886018	y = 0.2615538344230184	t = 4.5364580154418945
x = 0.5014139239295808	y = 0.2635084974189457	t = 4.550000190734863
x = 0.5013905962035549	y = 0.26521876100004366	t = 4.5635645389556885
x = 0.501361733559983	y = 0.2669289401273393	t = 4.577958822250366
x = 0.5013287476816153	y = 0.2688834305585342	t = 4.592511892318726
x = 0.5013084133225943	y = 0.2708380935544616	t = 4.606376647949219
x = 0.5013007313348541	y = 0.2727928472220291	t = 4.619831562042236
x = 0.5012992062305434	y = 0.2749919615507058	t = 4.6345508098602295
x = 0.50131050323753	y = 0.27694669766881425	t = 4.648425817489624
x = 0.5013259235290078	y = 0.2786570508236458	t = 4.6622185707092285
x = 0.5013435467192682	y = 0.2806117401434533	t = 4.677112817764282
x = 0.5013611699095285	y = 0.2825664294632609	t = 4.691584348678589
x = 0.5013710547906418	y = 0.28427682356660566	t = 4.706056833267212
x = 0.5013754041578554	y = 0.2859872407036329	t = 4.718767881393433
x = 0.5013677221701152	y = 0.28794199437120044	t = 4.735081911087036
x = 0.5013619606793099	y = 0.2894080596218761	t = 4.748096704483032
x = 0.5013319678887052	y = 0.2916069699404306	t = 4.761226177215576
x = 0.5013031052451333	y = 0.2933171490677262	t = 4.78230094909668
x = 0.5012687079863258	y = 0.2950272258286402	t = 4.796631097793579
x = 0.501239845342754	y = 0.29673740495593576	t = 4.810369491577148
x = 0.5012098525521492	y = 0.29893631527449027	t = 4.825362205505371
x = 0.5011920599880059	y = 0.30064664539592667	t = 4.839270114898682
x = 0.5011970306933929	y = 0.30260140783824346	t = 4.853578805923462
x = 0.5012069155745063	y = 0.30431180194158836	t = 4.8668787479400635
x = 0.5012308647634532	y = 0.30626642398949255	t = 4.882954835891724
x = 0.5012649240673394	y = 0.3084652750804836	t = 4.900218486785889
x = 0.501285879607668	y = 0.31017556937239976	t = 4.914275884628296
x = 0.5013038414993783	y = 0.31164153590832794	t = 4.9287636280059814
x = 0.5013192617908562	y = 0.3133518890631595	t = 4.942580461502075
x = 0.5013180755986145	y = 0.3150623113187968	t = 4.960479974746704
x = 0.5013132743562768	y = 0.31628403236102653	t = 4.97450065612793
x = 0.5012899466302508	y = 0.3179942959421244	t = 4.990200042724609
x = 0.5012604632655586	y = 0.31946007602290794	t = 5.004103422164917
x = 0.5012309799008664	y = 0.3209258561036913	t = 5.018277168273926
x = 0.5012021172572946	y = 0.32263603523098683	t = 5.034610033035278
x = 0.5011691313789268	y = 0.3245905256621819	t = 5.048361778259277
x = 0.5011538806096612	y = 0.3260565229091273	t = 5.062271356582642
x = 0.5011513387691433	y = 0.32972171345692153	t = 5.090001583099365
x = 0.5011598115243833	y = 0.33118776554550294	t = 5.104594945907593
x = 0.5011711085313699	y = 0.3331425016636114	t = 5.118403673171997
x = 0.5011824055383566	y = 0.33509723778171985	t = 5.133580923080444
x = 0.5011867549055702	y = 0.3368076549187471	t = 5.147917032241821
x = 0.5011859076253976	y = 0.33802938510134517	t = 5.160929203033447
x = 0.5011681150612542	y = 0.33973971522278157	t = 5.180819034576416
x = 0.5011337178024468	y = 0.3414497919836955	t = 5.194714784622192
x = 0.501105195292616	y = 0.34267118947157077	t = 5.2080206871032715
x = 0.5010597299421438	y = 0.3443810077664601	t = 5.221906423568726
x = 0.5010087312311708	y = 0.3460906699644133	t = 5.237205982208252
x = 0.5009743339723634	y = 0.3478007467253273	t = 5.251282691955566
x = 0.5009476737140479	y = 0.34975533367515355	t = 5.2658092975616455
x = 0.5009520230812615	y = 0.3514657508121808	t = 5.278681516647339
x = 0.5009696462715219	y = 0.35342044013198826	t = 5.29623556137085
x = 0.5009999212083095	y = 0.3553749744350914	t = 5.308836460113525
x = 0.5010226274109002	y = 0.3568408751624188	t = 5.325560092926025
x = 0.5010435829512289	y = 0.3585511694543349	t = 5.33989953994751
x = 0.5010545974451416	y = 0.35977285027921474	t = 5.354241371154785
x = 0.5010595681505287	y = 0.36172761272153153	t = 5.370516777038574
x = 0.5010508129963146	y = 0.3629493118269702	t = 5.386319875717163
x = 0.5010301968223347	y = 0.364170868346467	t = 5.399501800537109
x = 0.5009959698105377	y = 0.3656365453319173	t = 5.413069725036621
x = 0.5009522566297038	y = 0.36710197007302026	t = 5.42930269241333
x = 0.5009085434488699	y = 0.368567394814123	t = 5.444640636444092
x = 0.5008743164370729	y = 0.37003307179957334	t = 5.458683013916016
x = 0.5008509887110469	y = 0.3717433353806712	t = 5.472555637359619
x = 0.5008442669717742	y = 0.3734537448397929	t = 5.488446950912476
x = 0.5008479950008144	y = 0.3749198166715305	t = 5.50158429145813
x = 0.5008689505411431	y = 0.3766301109634466	t = 5.5171754360198975
x = 0.5008954411108323	y = 0.37834032847866195	t = 5.532164812088013
x = 0.500918147313423	y = 0.37980622920598933	t = 5.5483245849609375
x = 0.5009313647061182	y = 0.3812722461958449	t = 5.561504364013672
x = 0.5009350927351585	y = 0.3827383180275825	t = 5.580617189407349
x = 0.5009263375809444	y = 0.38396001713302114	t = 5.596710920333862
x = 0.5009057214069645	y = 0.3851815736525181	t = 5.6114113330841064
x = 0.5008732461566272	y = 0.3864028724345818	t = 5.628716707229614
x = 0.5008111823851004	y = 0.3881121687189912	t = 5.646768569946289
x = 0.5007546508477921	y = 0.38982165691284365	t = 5.66684889793396
x = 0.5007033103300967	y = 0.392020172391019	t = 5.686760425567627
x = 0.5006829759710758	y = 0.39397483538694644	t = 5.706814765930176
x = 0.5007005991613361	y = 0.3959295247067539	t = 5.7260706424713135
x = 0.5007435245762442	y = 0.3978838221054524	t = 5.741000175476074
x = 0.5007743058341725	y = 0.3991051647564375	t = 5.754682302474976
x = 0.5008090396433059	y = 0.4003264013917616	t = 5.768673419952393
x = 0.5008398209012342	y = 0.4015477440427467	t = 5.78358268737793
x = 0.5008666492855517	y = 0.4027691799169332	t = 5.79794716835022
x = 0.5008817867539456	y = 0.4037464470684848	t = 5.81201434135437
x = 0.5008905983490757	y = 0.40472379172838857	t = 5.8263256549835205
x = 0.5008867573552055	y = 0.4057011685621723	t = 5.839907646179199
x = 0.5008702644160216	y = 0.40667841377776986	t = 5.8551013469696045
x = 0.5008474464081569	y = 0.40765553176806996	t = 5.868487358093262
x = 0.500818304287601	y = 0.4086324815954719	t = 5.883997201919556
x = 0.5007828392753	y = 0.4096092223294201	t = 5.898159503936768
x = 0.5007424596057941	y = 0.4108302853250289	t = 5.911251783370972
x = 0.5007060319550992	y = 0.41205147260928127	t = 5.92620849609375
x = 0.5006832139472346	y = 0.41302859059958147	t = 5.939256906509399
x = 0.5006679631779689	y = 0.414494587846527	t = 5.954243898391724
x = 0.5006778480590822	y = 0.4162049819498718	t = 5.971564531326294
x = 0.5006967698945745	y = 0.4174265658893114	t = 5.986979722976685
x = 0.500719645124278	y = 0.4186480821932635	t = 6.001902103424072
x = 0.5007464735085955	y = 0.41986951806745	t = 6.016109228134155
x = 0.500769348738299	y = 0.4210910343714021	t = 6.031054735183716
x = 0.5007813233327726	y = 0.42206834539535437	t = 6.0463783740997314
x = 0.5007869718362659	y = 0.4230457134544085	t = 6.0592122077941895
