x = -0.6594458408759845	y = 0.020349052854271424	t = 3.683276653289795
x = -0.6585953709499158	y = 0.017542948265894028	t = 3.6982576847076416
x = -0.6576456187855483	y = 0.014256589547676373	t = 3.717956304550171
x = -0.6569077455982446	y = 0.011672048991384007	t = 3.7338106632232666
x = -0.6562521739827568	y = 0.00931817404041773	t = 3.748806953430176
x = -0.6556553064169756	y = 0.007201607182165436	t = 3.76202654838562
x = -0.6547481761646193	y = 0.0039032291711142172	t = 3.7793872356414795
x = -0.6538959330644852	y = 0.0008431917348581631	t = 3.8010506629943848
x = -0.6530337910250235	y = -0.0022140715048396963	t = 3.8195974826812744
x = -0.651893441553736	y = -0.006208361455473344	t = 3.844372272491455
x = -0.6510702560808975	y = -0.009022590965191351	t = 3.8637402057647705
x = -0.6503691028398084	y = -0.011363292902715594	t = 3.878394365310669
x = -0.6494477604199007	y = -0.014403239540124428	t = 3.899052143096924
x = -0.648723914435894	y = -0.016737023681654455	t = 3.9127113819122314
x = -0.6479849777327191	y = -0.019066073697545188	t = 3.9266679286956787
x = -0.6464490478674406	y = -0.02396207520343029	t = 3.9585165977478027
x = -0.6446394329074239	y = -0.029796535557255262	t = 3.9915428161621094
x = -0.6430112863399365	y = -0.0354302933599142	t = 4.024911642074585
x = -0.6415385458357794	y = -0.04085385196663903	t = 4.05543327331543
x = -0.6402884548876437	y = -0.04557818031389296	t = 4.082661390304565
x = -0.639592499155072	y = -0.04817432213320143	t = 4.098968267440796
x = -0.6386549309439702	y = -0.051717568393641854	t = 4.1174798011779785
x = -0.6373437877129947	y = -0.05642531829557431	t = 4.149736404418945
x = -0.6366142829103731	y = -0.059012233344549414	t = 4.1658337116241455
x = -0.6358764097230695	y = -0.06159677390084178	t = 4.182595252990723
x = -0.6351134781032436	y = -0.06417402865564024	t = 4.198482036590576
x = -0.6344824401862634	y = -0.06628066039941202	t = 4.211861610412598
x = -0.633766150973824	y = -0.06861677494967758	t = 4.225533723831177
x = -0.6330347557998819	y = -0.0709482042381943	t = 4.241572856903076
x = -0.6323697127670246	y = -0.07304434925249598	t = 4.255040884017944
x = -0.6315485952250393	y = -0.07560366023592603	t = 4.269142150878906
x = -0.6307357648515469	y = -0.07816561525340582	t = 4.284429550170898
x = -0.6300775091949989	y = -0.08026390161307093	t = 4.299161434173584
x = -0.6292812786125915	y = -0.0828310641687539	t = 4.313137769699097
x = -0.6284308086865229	y = -0.08563716875713125	t = 4.326763391494751
x = -0.6276595401213249	y = -0.08821194088840795	t = 4.343908786773682
x = -0.6269133062778932	y = -0.09079407988129325	t = 4.358536720275879
x = -0.6262959171732644	y = -0.09290475201358184	t = 4.3717124462127686
x = -0.6255496833298327	y = -0.09548689100646714	t = 4.388638019561768
x = -0.6247950966463975	y = -0.09806660139037532	t = 4.4023332595825195
x = -0.6241091087523655	y = -0.10041179264847368	t = 4.415647268295288
x = -0.6234848919725079	y = -0.10252045562967245	t = 4.43077826499939
x = -0.6226344220464393	y = -0.10532656021804984	t = 4.446831464767456
x = -0.6219105760624325	y = -0.10766034435957991	t = 4.461824655532837
x = -0.6212523204058845	y = -0.10975863071924492	t = 4.475224494934082
x = -0.6203565558146278	y = -0.1125506063375322	t = 4.4916534423828125
x = -0.6193114971248282	y = -0.11580791122553402	t = 4.510697841644287
x = -0.6186464540919709	y = -0.1179040562398357	t = 4.523765563964844
x = -0.6177597300481612	y = -0.1206989162589046	t = 4.539992094039917
x = -0.6170358840641544	y = -0.12303270040043462	t = 4.5534827709198
x = -0.6162035950243444	y = -0.1258442510420329	t = 4.568359136581421
x = -0.6154490083409092	y = -0.12842396142594104	t = 4.5818095207214355
x = -0.6147027744974776	y = -0.13100610041882643	t = 4.5969767570495605
x = -0.6140243800943579	y = -0.13335349950326764	t = 4.612009048461914
x = -0.6132865069070542	y = -0.13593804005956	t = 4.625636100769043
x = -0.6125402730636226	y = -0.1385201790524453	t = 4.6422905921936035
x = -0.6118618786605029	y = -0.14086757813688652	t = 4.655807733535767
x = -0.6113070193006296	y = -0.14274194523128542	t = 4.669873237609863
x = -0.6104747302608196	y = -0.1455534958728837	t = 4.6838836669921875
x = -0.609766005322429	y = -0.14789191636319826	t = 4.699798345565796
x = -0.6090421593384223	y = -0.15022570050472825	t = 4.7138831615448
x = -0.6083032226352475	y = -0.15255475052061898	t = 4.728497266769409
x = -0.607631399191805	y = -0.1546487322343345	t = 4.743119239807129
x = -0.6067356346005482	y = -0.15744070785262168	t = 4.758738994598389
x = -0.6060570377832633	y = -0.1595325043331869	t = 4.771927118301392
